local,longitud,latitud,denominacion,tipo
HIS,-58.601878,-34.791733,LA MATANZA/CAMPANÓPOLIS,Helipuerto
HIT,-56.658294,-27.558575,ITUZAINGÓ/TRANSENER,Helipuerto
HJN,-71.046426,-39.852774,JUNÍN DE LOS ANDES/EA. PALITUE,Helipuerto
HLE,-71.607697,-41.70337,LAGO ESCONDIDO/HIDDEN LAKE S.A.,Helipuerto
HLF,-59.118616,-34.2816,CAPILLA DEL SEÑOR/LOS FRESNOS,Helipuerto
HLH,-59.045919,-34.557353,LUJÁN/HOMAQ,Helipuerto
HLI,-58.606884,-34.497531,DON TORCUATO/HELICENTER,Helipuerto
HLL,-71.533825,-41.054659,SAN CARLOS DE BARILOCHE/COMPLEJO LLAO LLAO,Helipuerto
HLP,-57.893075,-34.959802,LA PLATA/HELIPUERTO D.P.A.O.,Helipuerto
HLR,-58.900427,-34.270449,LOS CARDALES/LA RESERVA,Helipuerto
HLS,-59.015184,-34.500721,OPEN DOOR/LA SUPERBA,Helipuerto
HLT,-58.863589,-34.404632,VILLA ROSA/LAS CHACRITAS,Helipuerto
HLU,-66.066423,-32.366669,LUJÁN/TRANSENER S.A.,Helipuerto
HMA,-58.195412,-34.815509,HUDSON/MANUEL AFONSO,Helipuerto
HMC,-58.734061,-34.445915,GARÍN/MIRAFLORES COUNTRY CLUB,Helipuerto
HMD,-58.429528,-34.581053,BUENOS AIRES/HELIPUERTO SWISS MEDICAL,Helipuerto
HME,-58.836706,-34.444449,PILAR/MEMORIAL,Helipuerto
HMF,-58.514923,-34.723585,LA MATANZA/OFICIAL SUBINSPECTOR GUSTAVO SOAREZ DE SOUZA,Helipuerto
HMG,-58.36092778,-34.62097778,BUENOS AIRES / MADERO HARBOUR,Helipuerto
HMH,-58.510795,-34.171041,SAN FERNANDO/PARANÁ MINÍ,Helipuerto
HMM,-58.790569,-34.562908,DR. MARIANO MORENO,Helipuerto
HMQ,-68.253333,-52.570556,HELIPLATAFORMA AM5,Helipuerto
HMT,-63.913851,-31.3392,MONTE CRISTO/TRANSENER S.A.,Helipuerto
HMY,-58.557711,-34.731886,LA MATANZA/TERMINAL Y.P.F.,Helipuerto
HNB,-58.642147,-34.439639,TIGRE/NORDELTA,Helipuerto
HNE,-63.22409,-32.437713,VILLA NUEVA/DAYRY PARTNERS AMERICAS MANUFACTURING ARGENTINA S.A,Helipuerto
HNH,-67.220278,-53.098333,HELIPLATAFORMA NOBLE HOUSTON COLBERT,Helipuerto
HNO,-68.219167,-52.820556,HELIPLATAFORMA/RÍO CULLEN-HIDRANORT,Helipuerto
HNP,-58.393835,-34.63098,BUENOS AIRES/HOSPITAL NACIONAL DE PEDIATRÍA PROF. JUAN GARRAHAM,Helipuerto
HOB,-64.397768,-31.633061,ALTA GRACIA/ORESTE BERTA,Helipuerto
HOC,-66.41666667,-52.83333333,HELIPLATAFORMA OCEANIC CHAMPION,Helipuerto
HOS,-67.433333,-46.466667,HELIPLATAFORMA MÓVIL OCEAN SCEPTER,Helipuerto
HPA,-58.368322,-34.606433,BUENOS AIRES/PRESIDENCIA DE LA NACIÓN,Helipuerto
HPC,-64.199434,-31.40821,CÓRDOBA/POLICIA PROVINCIA DE CÓRDOBA,Helipuerto
HPD,-68.867744,-32.878387,MENDOZA/POLICIA DE LA PROVINCIA DE MENDOZA,Helipuerto
HPE,-60.521265,-31.730027,PARANÁ/HOSPITAL MATERNO INFANTIL SAN ROQUE,Helipuerto
HPG,-70.042408,-40.161297,PIEDRA DEL ÁGUILA/TRANSENER S.A.,Helipuerto
HPI,-58.972486,-34.433128,PILAR GOLF/PIERO VARA,Helipuerto
HPL,-66.863203,-29.435592,LA RIOJA/HELIPUERTO POLICIA PROVINCIAL C.A.P.E.,Helipuerto
HPM,-57.921928,-34.924584,LA PLATA/POLICLÍNICO SAN MARTÍN,Helipuerto
HPN,-58.383829,-34.577207,BUENOS AIRES/P.N.A. OF. PPAL. BALLESTRA,Helipuerto
HPO,-54.638298,-25.99034,PUERTO ESPERANZA,Helipuerto
HPS,-70.41209,-31.760056,PACHÓN/HELIPUERTO PACHÓN MINERA S.A.,Helipuerto
HPT,-60.72647778,-32.71917778,SAN MARTÍN/COOPERATIVA DE TRABAJOS PORTUARIOS LIMITADA,Helipuerto
HPU,-65.824946,-38.147703,PUELCHES/TRANSENER S.A.,Helipuerto
HRC,-59.721463,-34.338474,CARMEN DE ARECO/SAN JOAQUÍN,Helipuerto
HRE,-65.058247,-29.262769,RECREO/TRANSENER S.A.,Helipuerto
HRI,-67.219444,-52.757222,HELIPLATAFORMA CARINA/TOTAL FINA ELF,Helipuerto
